# OSU MPI Bandwidth Test v3.8
# Size      Bandwidth (MB/s)
1                       3.07
2                       6.54
4                      19.44
8                      40.63
16                     78.46
32                    159.28
64                    307.00
128                   580.20
256                  1074.41
512                  1898.59
1024                 3225.13
2048                 4974.27
4096                 5370.54
8192                 5209.60
16384                4495.37
32768                5162.78
65536                5001.90
131072               5220.04
262144               5361.78
524288               5392.18
1048576              5415.78
2097152              5430.24
4194304              5386.85
